
real	0m0.203s
user	0m0.242s
sys	0m0.036s

real	0m0.229s
user	0m0.365s
sys	0m0.041s

real	0m0.240s
user	0m0.377s
sys	0m0.038s

real	0m0.253s
user	0m0.395s
sys	0m0.045s

real	0m0.295s
user	0m0.456s
sys	0m0.053s

real	0m0.277s
user	0m0.413s
sys	0m0.044s

real	0m0.271s
user	0m0.404s
sys	0m0.049s

real	0m0.266s
user	0m0.417s
sys	0m0.043s

real	0m0.287s
user	0m0.430s
sys	0m0.046s

real	0m0.276s
user	0m0.449s
sys	0m0.047s

real	0m0.315s
user	0m0.483s
sys	0m0.047s

real	0m0.282s
user	0m0.460s
sys	0m0.043s

real	0m0.307s
user	0m0.451s
sys	0m0.042s

real	0m0.330s
user	0m0.501s
sys	0m0.051s

real	0m0.312s
user	0m0.488s
sys	0m0.048s

real	0m0.305s
user	0m0.478s
sys	0m0.051s

real	0m0.336s
user	0m0.505s
sys	0m0.045s

real	0m0.345s
user	0m0.526s
sys	0m0.049s

real	0m0.332s
user	0m0.482s
sys	0m0.054s

real	0m0.321s
user	0m0.501s
sys	0m0.048s

real	0m0.367s
user	0m0.556s
sys	0m0.053s

real	0m0.364s
user	0m0.530s
sys	0m0.058s

real	0m0.342s
user	0m0.498s
sys	0m0.049s

real	0m0.356s
user	0m0.506s
sys	0m0.054s

real	0m0.367s
user	0m0.540s
sys	0m0.058s

real	0m0.364s
user	0m0.541s
sys	0m0.055s

real	0m0.382s
user	0m0.539s
sys	0m0.051s

real	0m0.382s
user	0m0.568s
sys	0m0.058s

real	0m0.376s
user	0m0.552s
sys	0m0.054s

real	0m0.382s
user	0m0.543s
sys	0m0.054s

real	0m0.408s
user	0m0.587s
sys	0m0.055s

real	0m0.395s
user	0m0.609s
sys	0m0.056s

real	0m0.395s
user	0m0.603s
sys	0m0.062s

real	0m0.425s
user	0m0.600s
sys	0m0.058s

real	0m0.424s
user	0m0.608s
sys	0m0.059s

real	0m0.427s
user	0m0.624s
sys	0m0.057s

real	0m0.449s
user	0m0.689s
sys	0m0.059s

real	0m0.430s
user	0m0.631s
sys	0m0.061s

real	0m0.424s
user	0m0.643s
sys	0m0.061s

real	0m0.513s
user	0m0.690s
sys	0m0.072s

real	0m0.435s
user	0m0.644s
sys	0m0.061s

real	0m0.453s
user	0m0.647s
sys	0m0.067s

real	0m0.502s
user	0m0.741s
sys	0m0.065s

real	0m0.438s
user	0m0.689s
sys	0m0.059s

real	0m0.485s
user	0m0.726s
sys	0m0.067s

real	0m0.505s
user	0m0.722s
sys	0m0.071s

real	0m0.491s
user	0m0.686s
sys	0m0.069s

real	0m0.479s
user	0m0.713s
sys	0m0.068s

real	0m0.513s
user	0m0.741s
sys	0m0.076s

real	0m0.491s
user	0m0.675s
sys	0m0.069s

real	0m0.522s
user	0m0.730s
sys	0m0.070s

real	0m0.544s
user	0m0.772s
sys	0m0.068s

real	0m0.533s
user	0m0.749s
sys	0m0.072s

real	0m0.632s
user	0m0.854s
sys	0m0.086s

real	0m0.591s
user	0m0.811s
sys	0m0.081s

real	0m0.589s
user	0m0.823s
sys	0m0.077s

real	0m0.550s
user	0m0.824s
sys	0m0.074s

real	0m0.605s
user	0m0.818s
sys	0m0.078s

real	0m0.585s
user	0m0.819s
sys	0m0.078s

real	0m0.588s
user	0m0.875s
sys	0m0.080s

real	0m0.614s
user	0m0.858s
sys	0m0.086s

real	0m0.615s
user	0m0.865s
sys	0m0.080s

real	0m0.603s
user	0m0.873s
sys	0m0.082s

real	0m0.615s
user	0m0.910s
sys	0m0.070s

real	0m0.632s
user	0m0.894s
sys	0m0.085s

real	0m0.621s
user	0m0.933s
sys	0m0.073s

real	0m0.623s
user	0m0.825s
sys	0m0.084s

real	0m0.645s
user	0m0.917s
sys	0m0.082s

real	0m0.648s
user	0m0.900s
sys	0m0.080s

real	0m0.666s
user	0m0.917s
sys	0m0.080s

real	0m0.633s
user	0m0.926s
sys	0m0.079s

real	0m0.698s
user	0m0.996s
sys	0m0.087s

real	0m0.693s
user	0m0.926s
sys	0m0.089s

real	0m0.697s
user	0m0.921s
sys	0m0.081s

real	0m0.684s
user	0m0.944s
sys	0m0.087s

real	0m0.684s
user	0m0.915s
sys	0m0.080s

real	0m0.675s
user	0m0.981s
sys	0m0.084s

real	0m0.700s
user	0m0.967s
sys	0m0.088s

real	0m0.724s
user	0m0.979s
sys	0m0.097s

real	0m0.738s
user	0m0.954s
sys	0m0.087s

real	0m0.714s
user	0m0.980s
sys	0m0.093s

real	0m0.750s
user	0m0.975s
sys	0m0.086s

real	0m0.705s
user	0m0.967s
sys	0m0.090s

real	0m0.742s
user	0m0.968s
sys	0m0.086s

real	0m0.727s
user	0m0.988s
sys	0m0.092s

real	0m0.762s
user	0m1.025s
sys	0m0.093s

real	0m0.754s
user	0m1.016s
sys	0m0.092s

real	0m0.776s
user	0m1.044s
sys	0m0.098s

real	0m0.797s
user	0m1.105s
sys	0m0.097s

real	0m0.875s
user	0m1.097s
sys	0m0.102s

real	0m0.809s
user	0m1.102s
sys	0m0.096s

real	0m0.798s
user	0m1.030s
sys	0m0.097s

real	0m0.775s
user	0m1.028s
sys	0m0.103s

real	0m0.841s
user	0m1.091s
sys	0m0.100s

real	0m0.838s
user	0m1.080s
sys	0m0.107s

real	0m0.910s
user	0m1.194s
sys	0m0.118s

real	0m0.863s
user	0m1.130s
sys	0m0.112s

real	0m0.860s
user	0m1.088s
sys	0m0.108s

real	0m0.838s
user	0m1.056s
sys	0m0.109s

real	0m0.903s
user	0m1.136s
sys	0m0.113s

real	0m0.857s
user	0m1.075s
sys	0m0.112s

