
real	0m0.460s
user	0m0.318s
sys	0m0.081s

real	0m0.218s
user	0m0.317s
sys	0m0.037s

real	0m0.231s
user	0m0.336s
sys	0m0.042s

real	0m0.200s
user	0m0.296s
sys	0m0.037s

real	0m0.211s
user	0m0.339s
sys	0m0.040s

real	0m0.207s
user	0m0.323s
sys	0m0.040s

real	0m0.225s
user	0m0.335s
sys	0m0.041s

real	0m0.246s
user	0m0.374s
sys	0m0.048s

real	0m0.233s
user	0m0.361s
sys	0m0.045s

real	0m0.230s
user	0m0.354s
sys	0m0.042s

real	0m0.237s
user	0m0.362s
sys	0m0.040s

real	0m0.259s
user	0m0.396s
sys	0m0.046s

real	0m0.230s
user	0m0.360s
sys	0m0.040s

real	0m0.259s
user	0m0.395s
sys	0m0.047s

real	0m0.247s
user	0m0.367s
sys	0m0.047s

real	0m0.254s
user	0m0.385s
sys	0m0.048s

real	0m0.241s
user	0m0.391s
sys	0m0.046s

real	0m0.250s
user	0m0.398s
sys	0m0.045s

real	0m0.252s
user	0m0.384s
sys	0m0.046s

real	0m0.257s
user	0m0.415s
sys	0m0.049s

real	0m0.241s
user	0m0.368s
sys	0m0.046s

real	0m0.237s
user	0m0.368s
sys	0m0.049s

real	0m0.228s
user	0m0.377s
sys	0m0.041s

real	0m0.255s
user	0m0.396s
sys	0m0.050s

real	0m0.236s
user	0m0.368s
sys	0m0.046s

real	0m0.250s
user	0m0.422s
sys	0m0.045s

real	0m0.250s
user	0m0.396s
sys	0m0.044s

real	0m0.251s
user	0m0.407s
sys	0m0.048s

real	0m0.257s
user	0m0.422s
sys	0m0.048s

real	0m0.237s
user	0m0.404s
sys	0m0.046s

real	0m0.266s
user	0m0.408s
sys	0m0.049s

real	0m0.251s
user	0m0.415s
sys	0m0.048s

real	0m0.277s
user	0m0.437s
sys	0m0.054s

real	0m0.246s
user	0m0.383s
sys	0m0.046s

real	0m0.253s
user	0m0.417s
sys	0m0.046s

real	0m0.267s
user	0m0.437s
sys	0m0.053s

real	0m0.262s
user	0m0.441s
sys	0m0.051s

real	0m0.253s
user	0m0.410s
sys	0m0.046s
make: *** [SearchIt] Interrupt: 2

real	0m0.099s
user	0m0.057s
sys	0m0.023s

real	0m0.277s
user	0m0.450s
sys	0m0.050s

real	0m0.283s
user	0m0.446s
