
real	0m0.223s
user	0m0.289s
sys	0m0.038s

real	0m0.221s
user	0m0.294s
sys	0m0.038s

real	0m0.225s
user	0m0.307s
sys	0m0.038s

real	0m0.215s
user	0m0.305s
sys	0m0.038s

real	0m0.206s
user	0m0.268s
sys	0m0.041s

real	0m0.201s
user	0m0.282s
sys	0m0.037s

real	0m0.212s
user	0m0.261s
sys	0m0.036s

real	0m0.209s
user	0m0.285s
sys	0m0.041s

real	0m0.221s
user	0m0.298s
sys	0m0.040s

real	0m0.218s
user	0m0.282s
sys	0m0.041s

real	0m0.230s
user	0m0.312s
sys	0m0.045s

real	0m0.233s
user	0m0.327s
sys	0m0.044s

real	0m0.213s
user	0m0.293s
sys	0m0.044s

real	0m0.223s
user	0m0.295s
sys	0m0.041s
