real,0.216
user,0.295
sys,0.04
real,0.209
user,0.295
sys,0.037
real,0.22
user,0.325
sys,0.037
real,0.225
user,0.334
sys,0.037
real,0.238
user,0.356
sys,0.042
real,0.255
user,0.358
sys,0.045
real,0.26
user,0.38
sys,0.049
real,0.235
user,0.365
sys,0.044
real,0.253
user,0.368
sys,0.05
real,0.247
user,0.39
sys,0.045
real,0.266
user,0.409
sys,0.047
real,0.265
user,0.4
sys,0.048
real,0.237
user,0.389
sys,0.042
real,0.222
user,0.367
sys,0.044
real,0.254
user,0.383
sys,0.045
real,0.254
user,0.397
sys,0.041
real,0.247
user,0.369
sys,0.043
real,0.246
user,0.403
sys,0.042
real,0.238
user,0.395
sys,0.045
real,0.241
user,0.412
sys,0.045
real,0.291
user,0.466
sys,0.055
real,0.235
user,0.373
sys,0.046
real,0.246
user,0.413
sys,0.048
real,0.254
user,0.414
sys,0.049
real,0.255
user,0.409
sys,0.047
real,0.426
user,0.506
sys,0.062
real,0.284
user,0.405
sys,0.05
real,0.265
user,0.421
sys,0.05
real,0.262
user,0.414
sys,0.05
real,0.277
user,0.422
sys,0.048
real,0.275
user,0.417
sys,0.053
real,0.25
user,0.423
sys,0.05
real,0.273
user,0.413
sys,0.054
real,0.25
user,0.407
sys,0.047
real,0.27
user,0.44
sys,0.05
real,0.262
user,0.415
sys,0.046
real,0.265
user,0.426
sys,0.048
real,0.274
user,0.436
sys,0.052
real,0.29
user,0.449
sys,0.051
real,0.261
user,0.421
sys,0.051
real,0.263
user,0.415
sys,0.051
real,0.278
user,0.441
sys,0.051
real,0.284
user,0.457
sys,0.051
real,0.35
user,0.477
sys,0.062
real,0.293
user,0.448
sys,0.056
real,0.271
user,0.44
sys,0.054
real,0.281
user,0.47
sys,0.051
real,0.296
user,0.452
sys,0.054
real,0.296
user,0.467
sys,0.061
real,0.284
user,0.456
sys,0.061
real,0.284
user,0.471
sys,0.055
real,0.31
user,0.463
sys,0.056
real,0.334
user,0.52
sys,0.064
real,0.291
user,0.458
sys,0.056
real,0.311
user,0.518
sys,0.061
real,0.312
user,0.479
sys,0.059
real,0.335
user,0.521
sys,0.065
real,0.297
user,0.498
sys,0.059
real,0.275
user,0.464
sys,0.054
real,0.341
user,0.531
sys,0.061
real,0.379
user,0.557
sys,0.07
real,0.293
user,0.499
sys,0.059
real,0.295
user,0.488
sys,0.055
real,0.354
user,0.569
sys,0.063
real,0.337
user,0.555
sys,0.064
real,0.334
user,0.533
sys,0.061
real,0.311
user,0.503
sys,0.06
real,0.416
user,0.652
sys,0.071
real,0.314
user,0.561
sys,0.063
real,0.335
user,0.542
sys,0.065
real,0.399
user,0.585
sys,0.069
real,0.362
user,0.57
sys,0.072
real,0.365
user,0.622
sys,0.071
real,0.36
user,0.597
sys,0.067
real,0.46
user,0.658
sys,0.075
real,0.342
user,0.599
sys,0.066
real,0.385
user,0.641
sys,0.066
real,0.453
user,0.669
sys,0.075
real,0.398
user,0.624
sys,0.076
real,0.345
user,0.589
sys,0.066
real,0.356
user,0.554
sys,0.072
real,0.458
user,0.735
sys,0.08
real,0.363
user,0.646
sys,0.064
real,0.428
user,0.712
sys,0.074
real,0.417
user,0.615
sys,0.07
real,0.436
user,0.75
sys,0.075
real,0.382
user,0.626
sys,0.071
real,0.432
user,0.655
sys,0.069
real,0.434
user,0.72
sys,0.074
real,0.399
user,0.666
sys,0.072
real,0.429
user,0.632
sys,0.074
real,0.416
user,0.675
sys,0.081
real,0.4
user,0.685
sys,0.073
real,0.469
user,0.69
sys,0.082
real,0.41
user,0.656
sys,0.077
real,0.485
user,0.751
sys,0.084
real,0.435
user,0.667
sys,0.078
real,0.441
user,0.731
sys,0.084
real,0.421
user,0.684
sys,0.077
real,0.469
user,0.689
sys,0.077
real,0.401
user,0.662
sys,0.077
real,0.394
user,0.651
sys,0.079
real,0.462
user,0.722
sys,0.08
real,0.43
user,0.685
sys,0.08
real,0.417
user,0.719
sys,0.077
real,0.435
user,0.662
sys,0.08
real,0.487
user,0.78
sys,0.085
real,0.425
user,0.714
sys,0.079
real,0.45
user,0.649
sys,0.084
real,0.445
user,0.735
sys,0.083
